,Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Gender,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers,candidate_brand,specifiers,label
19716,20141022-EC560-2147439836,10/22/2014,10/30/2014,11/17/2014,Consumer,"Bosch diswasher
Black",Kitchen,Appliances,Dishwashers (214),214,BSH HOME APPLIANCES CORPORATION,Bosch,SHU53A06UC/14,FD880300121,,,,Tasco Distributors,Ontario,6/6/2003,,"Bosch dishwasher model number SHU53A06UC /14,  serial number FD830300121

At approximately 23:00 last night, the dishwasher was operating in wash cycle, when the front control panel burst into flames.  Luckily I smelled smoke immediately, and put the fire out with an extinguisher.  The plastic laminate countertop above was heat damaged (blistered) and the house filled with smoke.  

Upon googling ""dishwasher on fire"", I discovered there was a 2009 voluntary recall of this product, citing specifically the danger of fire from a defect in the control panel.

Although I registered my product when I purchased it in 2003, I HAVE NEVER RECEIVED ANY WRITTEN, E-MAIL, PHONE OR FAX NOTIFICATION OF A PRODUCT RECALL.  I was completely unaware of the recall until last night.  I have no recollection of any public notice in Canada (newspaper, billboard, radio ad, TV ad) of this recall, nor has any of my friends and neighbours I've spoken to.

My children, ages 9 and 6, were asleep at the time.  It is a miracle no one was hurt, and damage to the house was not worse.

I ask you, what assurance do we have as consumers of REASONABLE NOTICE of a product recall, when the defect is LIFE THREATENING.",,Canada,,Home/Apartment/Condominium,"Incident, No Injury",Female,My Child,6,Yes,No,,,No,No,Yes,It is a built in dishwasher - still in my kitchen.  Will call manufacturer after registering this report,,,"['', 'Bosch', 'BSH HOME APPLIANCES CORPORATION']","['FAX', 'FD830300121', 'WRITTEN', '2009', 'REASONABLE', 'SHU53A06UC', 'OF', 'RECEIVED', 'ANY', '23', 'RECALL.', '14', 'NEVER', 'NOTICE', 'OR', '00', 'PHONE', '2003', 'TV', 'NOTIFICATION', 'LIFE', 'PRODUCT', 'THREATENING.', 'E-MAIL', 'HAVE']",8161
19891,20141008-88882-2147440270,10/8/2014,10/17/2014,10/31/2014,Consumer,Bosch Dishwasher DLX Series ,Kitchen,Appliances,Dishwashers (214),214,BSH HOME APPLIANCES CORPORATION,Bosch,SHU3322UC/U12,FD8008210032,,,,,,,,Bosch dishwasher caught on fire.  Melted the front and completely destroyed the circuits on the inside and bottom of the dishwasher.  Filled my home with smoke.,Hollister,California,95023,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,40,Yes,No,,,No,Yes,,Called Bosch 10/6/2014 filed a report.  Still waiting for someone to call me back it is now 10/8/2014,(10/30/2014) BSH HOME APPLIANCES CORPORATION: The dishwasher in this report is one of those recalled (09-100) and the issue is that which the recall was done to avoid.,,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']",['DLX'],8161
19983,20140930-77901-2147440507,9/30/2014,10/8/2014,10/23/2014,Consumer,"Bosch gas wall oven, stainless steel,Model HBL5450UC/08, Serial number 920800174.",Kitchen,Appliances,Gas Ranges or Ovens (279),279,BSH HOME APPLIANCES CORPORATION,Bosch,HBL5450UC/08,920800174,,,,installed by prev. owner,,9/1/2008,,"On Sunday evening, Sept. 28, 2014, I turned my Bosch convection oven on to preheat.  Shortly, I heard a loud pop only to find the interior glass had shattered into little pieces.  We moved into this home only this past August and it was only the second time I used this oven.  It was like new because the prior owners worked in Washington, DC and were here only on weekends and either ate out or barbequed.  I called Bosch and reported the incident.  They agreed to send out a technician to diagnose the problem (?shattered interior  glass) and he would tell me what needs to be replaced and that cost would be on me.  Surely, this is a defective piece of safety glass, and I feel the cost should be borne by Bosch.
The model  number is HBL5450UC/08.  The Serial number is 920800174.",GARNET VALLEY,Pennsylvania,19060,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,,Yes,No,,,No,Yes,,Manufacturer is sending out technician to see damages but repair is on me.,"(10/22/2014) BSH HOME APPLIANCES CORPORATION: The incident in this report experienced a random failure of the inner glass in an oven door. The outer glass remained intact. Oven door glass is tempered, but it is glass and can potentially break.",,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']","['HBL5450UC', '2014', '28', '08.', 'DC', '08', '920800174.']",0
20318,20140831-2DE15-2147441368,8/31/2014,9/9/2014,9/23/2014,Consumer,Stainless Steel. Bosch Dishwasher.,Kitchen,Appliances,Dishwashers (214),214,BSH HOME APPLIANCES CORPORATION,Bosch ,,SHX33A05UC,'103030081328000230,,,,,,,"The wires under my dishwasher heated to an extreme  temperature and melted interior elements of my dishwasher.  Had the circuit not tripped in my home, there could have been much more extensive damage and fire.  The damage appears to be consistent with other recalls by Bosch- when I contacted Bosch and described the problem, they indicated that my dishwasher was not part of their recall. ",Bethany Beach,Delaware,19930,Home/Apartment/Condominium,"Incident, No Injury",Unknown,Unspecified,,Yes,No,,,No,Yes,,I contacted Bosch at their recall hotline and they indicated that this was unrelated to the fire hazard recall.,(9/22/2014) BSH HOME APPLIANCES CORPORATION: The issue described in this report was in the power wiring connections. Those connections are made by the installer to connect a power cord supplied by the installer to the power wires from the dishwasher.  Poor connections can degrade over time and cause the junction to overheat.,,"['Bosch ', 'BSH HOME APPLIANCES CORPORATION']",[],0
20515,20140814-45E98-2147441941,8/14/2014,8/25/2014,9/9/2014,Consumer,"Ready to go at a minute's notice, the Dremel 7700-1/15 MultiPro Cordless Rotary Tool Kit is perfect for a variety of hobby, craft, and light-duty home improvement projects. The two-speed rotary tool is capable of doing almost anything the standard MultiPro does, but with cordless convenience. The kit comes with a carrying case, battery pack, charger, one attachment, and 15 accessories that give you the option of cutting, grinding, sanding, polishing, routing, drilling, and carving--so you'll be ready to tackle whatever project you dream up next.",Home Maintenance and Structures,Tools & Hardware,Other Portable or Stationary Power Tools (809),809,Robert Bosch Tool Corporation,Dremel,7700,,,,,Amazon.com,,11/29/2013,,"I purchased this ""Dremel 7700-1/15 MultiPro 7.2-Volt Cordless Rotary Tool Kit"" from Amazon in November, 2013.

This rotary tool has a removal battery that also doubles as a hand grip. However, I noticed that the battery cannot be locked to the tool properly. This is quite dangerous as the rotary tool runs at 20K RPM and some of the tools are used for cutting wood and metal. Depending on how you grab the tool, when the battery come loose, the top portion could come off and cause damages.

I called customer service and it seems they are aware of the problem but I think they should issue a recall to the product.",,Unspecified,,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Self,,Yes,,,,,Yes,,Manufacturer requested that I send it in for replacement,(8/27/2014) Robert Bosch Tool Corporation: Thank you for the report regarding the Dremel 7700 rotary tool. Bosch Tool Corporation takes reports of potential product safety matters seriously. We are investigating the report based on the information provided. In the event the consumer or the CPSC become aware of additional information that may be relevant to our investigation please contact our Product Safety Department at 224-232-2000 and ask for the Safety Assurance Supervisor for further assistance.,,"['Dremel', 'Robert Bosch Tool Corporation']","['7.2-Volt', 'MultiPro', '20K', 'RPM', '15', '7700-1', '2013.']",0
20720,20140730-56473-2147442436,7/30/2014,8/11/2014,8/25/2014,Consumer,BOSCH Dishwasher model SHV6803C/12 serial number FD8206100028,Kitchen,Appliances,Dishwashers (214),214,BSH HOME APPLIANCES CORPORATION,Bosch,SHV6803C/12,FD8206100028,,,,,,,,Smell of burning plastic came from dishwasher during use.  Power connections in box at right front of Bosch dishwasher model SHV6803C/12 had melted the plastic wire nut and parts of the connecting wire. Bad connection was cut off and new connection was made with new wire nut.  This connection also melted after about 1 year.  On inspection the wire from the inside of the machine is corroded badly its entire length which apparently increased its resistance and prevented a proper connection in the wire nut.,Bedford,New Hampshire,3110,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,Yes,No,,,No,No,No,,"(8/25/2014) BSH HOME APPLIANCES CORPORATION: This consumers report involves the installation wiring connections, as clearly shown in the attached photos. The incoming power wire and its connections are the responsibility of the installer.
(8/25/2014) BSH HOME APPLIANCES CORPORATION: If a repair becomes necessary on the incoming power wire and its connections, it is the responsibility of the repair technician to ensure that the connecting wires have not been degraded by previous overheating or other occurrence and are suitable for making a good connection.",,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']","['SHV6803C', 'FD8206100028', 'BOSCH', '12']",8161
20927,20140710-AA4A9-2147442990,7/10/2014,7/22/2014,8/5/2014,Consumer,Dishwasher,Kitchen,Appliances,Dishwashers (214),214,BSH HOME APPLIANCES CORPORATION,Bosch,SHU3326UC/U12,FD8007 20 0006,,,,Golden North Appliance,,4/1/2000,Yes,"Our Bosch Dishwasher, model SHU3326UC/U12 caught fire while we were not watching.  It tripped the circuit breaker and the flame went out on it's own.  We were very fortunate, since the unit was operating after we left home.",Fairbanks,Alaska,99709,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,Yes,No,,,No,Yes,,"I have tried, but the ""recall hotline"" places me on endless hold.  Have not reached them yet.",(8/1/2014) BSH HOME APPLIANCES CORPORATION: The dishwasher in this report is one of those recalled (09-100) and the issue is that which the recall was done to avoid.,,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']","['U12', 'SHU3326UC']",8161
21184,20140619-37339-2147443577,6/19/2014,6/27/2014,7/14/2014,Consumer,Bosch Gas Range #HGS225UC/01,Kitchen,Appliances,Gas Ranges or Ovens (279),279,BSH HOME APPLIANCES CORPORATION,Bosch Range,HGS225UC/01,825030082812005336,,1/1/2004,1/2001,Frotins Appliance,Maine,4/4/2006,Yes,I have a Bosch Range #HGS255UC/01.  This was an expensive range$1800. It has had several problems since we purchased it. The latest problem is a real safety problem. The door doesnot close properly. My knobs on the front are damaged from the heat escaping. The front of the stove gets extremely hot and my cupboard beside the stove gets hot as well. I leave my cupboard door open when I use the oven so it will not burn. The replacement part as very expensive. Bosch has acknowledge a design problem with this door and has made the repair very costly for the consumer. A product recall should have been done on this part at the cost to Bosch.,madison,Maine,4950,Home/Apartment/Condominium,"Injury, First Aid Received by Non-Medical Professional",Female,Self,59,Yes,Yes,,,,,,,(7/11/2014) BSH HOME APPLIANCES CORPORATION: This consumer's report describes the diagnosis of the basic issue as the door no longer closing properly on an older oven. That issue should be remedied by appropriate service actions.,,"['Bosch Range', 'BSH HOME APPLIANCES CORPORATION']","['HGS225UC', '01', 'HGS255UC', '1800.', '01.']",0
21377,20140604-17E0F-2147443981,6/4/2014,6/13/2014,6/27/2014,Consumer,"Belt Sander, 3 x 18 inch, 3/4 HP",Home Maintenance and Structures,Tools & Hardware,Power Sanders (803),803,Robert Bosch Tool Corporation,Skil,Skil 7313 Type A,,'N/A,,,The Home Depot,California,6/8/1991,,"Belt sander (see Product Description) spontaneously powered up and ran on its own with no operator in contact. 

The sander had been in use minutes before to sand a piece of shelving.  It was resting, plugged into AC power, not running, belt down, on a workbench with no one nearby.  Without warning, the belt sander spontaneously powered on and took off running across the bench.  I ran over to it, picked it up by its handle and cycled the trigger on/off switch, to no effect.  It did not stop running until I unplugged it from it's power source.  It smelled as if something was burning, and the handle around the trigger on/off switch was very warm.  

Continuing long after the incident, when plugged into AC power, it immediately powers on with no interaction at the trigger on/off switch.  It is not in use until the problem is solved.

No injuries were sustained.",Los Gatos,California,95030,Home/Apartment/Condominium,"Incident, No Injury",Male,Unspecified,59,Yes,No,,,No,Yes,,I am keeping the product with expectation that it can be repaired.  I am reporting this to the manufacturer.,"(6/17/2014) Robert Bosch Tool Corporation: Robert Bosch Tool Corporation takes product safety very seriously.  We appreciate you taking the time to send us this report, prior to the report we had already been in contact and discussed with the customer his issue with the belt sander, as well as, the particular sander had been recalled in early 1991.   We have requested that the customer return the tool, (at Bosch Tools expense) for examination and determination of its claimed failure. As of the time of filing of this reply we have not received the tool for inspection, but we are continuing our efforts to obtain and inspect it. 

We are also replacing this tool as a goodwill gesture with a new belt sander. We encourage all customers with inquiries or complaints to call Skil customer service at 1-877-Skil-999 or visit www.skiltools.com for further assistance with our power tool products. In addition, if you have any questions regarding this Comment or questions about this issue, please contact the Product Safety Department, Safety Assurance Supervisor at Robert Bosch Tool Corporation, at 224-232-2000.",,"['Robert Bosch Tool Corporation', 'Skil']","['HP', '18', 'AC']",0
21515,20140524-C8BE6-2147444246,5/24/2014,6/3/2014,6/17/2014,Consumer,"Bosch dishwasher model SHE45M06UC/50
S/N- FD880602393",Kitchen,Appliances,Dishwashers (214),214,BSH HOME APPLIANCES CORPORATION,Bosch,SHE45M06UC/50,FD880602393,,,,Loews,,8/13/2008,,"During the last 4 or 5 loads in the dishwasher we thought we could smell something burning like an electrical fire.  At first we thought it was something in the washer itself but could not pinpoint anything. When the dishwasher stopped working completely (May 12, 2014) we found that the power connection from the household wiring had melted at the connector block on the dishwasher. The block itself was melted as well and thankfully one wire broke or melted to the point it was no longer making a connection, which is probably what saved a fire. That wire had also melted into the romex towards the interior of the wall. At no time did a circuit breaker trip. We contacted Bosch and Loews, where we purchased the unit from in August of 2008. Loews contractor installed the unit on August 13, 2008.

Bosch sent out a technician and stated he believed the screw connecting the wire to the block was stripped or loose and that's what caused the high resistance and subsequent damage. Bosch then called to advise that this was an installer problem not a defect with the machine. We have not heard from Loews since the store contact with the installation manager about 2 weeks ago.",Port St Lucie,Florida,34984,Home/Apartment/Condominium,"Incident, No Injury",Male,Self,61,Yes,No,,,No,Yes,,"Contacted Bosch + Loews, Bosch sent tech out to examine machine, blamed installer","(6/16/2014) BSH HOME APPLIANCES CORPORATION: The issue reported here involves the installation wiring connections, as clearly shown in the attached photo.  The incoming power wire and its connections are the responsibility of the installer..",,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']","['FD880602393', '13', '12', 'SHE45M06UC', '2014', '2008.', '50']",8027
21756,20140417-11E4D-1397752,4/17/2014,5/13/2014,5/28/2014,Consumer,Under the counter dishwasher,Kitchen,Appliances,Dishwashers (214),214,BSH HOME APPLIANCES CORPORATION,Bosch,SHU53A05UC,FD821200194,,,,Stone Appliance,Texas,3/23/2004,,"The consumer stated that her dishwasher caught on fire. The unit is included in recall #09-100.

The consumer stated that the control panel caught on fire (top mid to right corner on the door). The consumer stated that the door melted through and there is a hole left in the door. The consumer stated that the hole is about 10 inches. 

The consumer put baking soda and fire extinguisher on the fire. The consumer contacted the fire department. 

The fire department came and took the unit out on the patio. They checked for hazardous fumes and ran exhaust. They disconnected the utilities to the dishwasher.

The consumer stated that she saw 6-8in flames and a lot of smoke. The consumer stated that there was a lot of black soot on the first floor of her home. The consumer stated that there is a burnt plastic smell left in the home. 

The consumer stated that there was no other property damage. No injuries.

The consumer stated that she contacted the manf on 4/16/14. A repairman from the local shop ([REDACTED])  is supposed to come out in a week to examine the unit. The manf informed the consumer that someone will contact her from the safety department regarding the remedy once her unit has been examined.",Colleyville,Texas,76034,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,,Yes,No,,,No,Yes,,,(5/27/2014) BSH HOME APPLIANCES CORPORATION: The dishwasher in this report is one of those recalled (09-100). That recall was done to prevent incidents such as the one in this report.  The incident is being handled accoring to recall procedure.,,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']","['REDACTED', '09-100.', '14.', '6-8in', '10', '16']",8161
21918,20140401-975E5-1395299,4/1/2014,5/2/2014,5/16/2014,Consumer,Bosch gas 5 burner cooktop,Kitchen,Appliances,Gas Ranges or Ovens (279),279,BSH HOME APPLIANCES CORPORATION,Bosch ,NGM5654SS,FD900400110,,,,ABT Electronics,Illinois,9/6/2010,,"On September 6, 2010, we bought a Bosch gas 5 burner cooktop, model, NGM5654SS, for $813.06, at ABT Electronics at 1200 North Milwaukee Avenue, Glenview, Illinois 60025 (see attached). Gradually, we began having difficulty to turning the gas on or off. On a couple of occasions only the smell of gas alerted us that despite the knob pointing to the off mark, in fact had not completely shut the gas off. We then realized that ALL of the knobs were cracked (see attached pictures), we went to ABT Electronics and express our safety concerns about the low quality and fragility of cooktop knobs we had bought from this store. They did not show any concern about selling a product with that high risk safety issue; the only response was to sell us the replacements for $18.00, dollars plus tax a piece, totaling over $115.00.
Failing to get our safety concerns through with ABT Electronics, we went directly to Bosch and Siemens Corporation, 1901 Main Street, Suite-600, Irvine, CA 92614, (949)440-7100. We contacted this company by telephone and spoke to Ms. [REDACTED] Customer Service, explaining in detail the potential for gas leaks, fire, explosion and Carbon Monoxide poisoning resulting from the defective cooktop knobs. She did not express any interest or concern and like ABT Electronics, only offer to sell to us the same frail, Inadequate and unsafe cooktop knobs, but with 10% discount. I strongly made clear to her that my fear was the unsafe design and poor quality of the material of the knobs, not a handout. Furthermore, I sent to Ms. [REDACTED] on January 27, 2014, all the pictures from the 5 knobs and her only email response was, ""Thank you so much for sending me the information. I will attach it to your file.'' To this date I have not heard anything from Bosch and Siemens Corporation. 
We have tried to find on the market better designed replacements for the knobs, but none of them fit this particular cooktop model, which has rendered the expensive cooktop useless for us. We then contacted the City of Des Plaines Fire Consumer Protection Section and I was directed by Fire Chief, [REDACTED] on February 4, 2014, to contact you.",Des Plaines,Illinois,60016,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,,,,,,,,,"(5/15/2014) BSH HOME APPLIANCES CORPORATION: Field experience has shown that the material and design of the knobs in question is quite adequate.  As with any user operated components, they are subject to chemical and/or physical abuse beyond the control of the manufacturer.  The cooktop in this report was a floor model purchased in 2010, so it has been exposed to a variety of situations.  The consumer has refused to allow an evaluation of the knobs in question so no specific determination can be made.  .",,"['Bosch ', 'BSH HOME APPLIANCES CORPORATION']","['949', 'REDACTED', '115.00.', 'ABT', '1200', '92614', '10', '2014', '60025', '813.06', 'CA', '27', 'NGM5654SS', '440-7100.', '1901', 'ALL', 'Suite-600', '18.00', '2010']",0
22095,20140409-ADAA4-2147445589,4/9/2014,4/17/2014,5/1/2014,Consumer,Gilmour 5/8-in and 3/4-in Metal Clamp Hose Mender,Yard & Garden,Gardening & Landscaping,"Garden Hoses, Nozzles or Sprinklers (1414)",1414,Robert Bosch Tool Corporation,Gilmour,01HMCGF,,,,,Lowes,,3/25/2014,Yes,"I was using the product to mend a leaking garden hose. After securing the two metal clamps as tight as I could, I proceeded to turn the water on. I was holding the hose and the metal clamp could not handle the water pressure. It shot off out of my right hand like a rocket. The steel piece caused a deep laceration to my inside wrist requiring an emergency room visit. There is no warning on the packaging that it may do this.",San diego,California,92110,Home/Apartment/Condominium,"Injury, Emergency Department Treatment Received",Male,Self,38,Yes,,,,No,No,,I believe the manufacturer or retailer should pay for my medical treatment-not my insurance company.,"(4/30/2014) Robert Bosch Tool Corporation: Robert Bosch Tool Corporation takes product safety very seriously. Following receipt of this report, which we appreciate you taking the time to send us, we have attempted to contact the customer in an effort to discuss the reported incident with the hose mender.  At the time of this response, we have been unable to engage the customer in a dialog and to assist him with the issue.  We will continue to keep a communication line open for him. 

We encourage all customers with inquiries or complaints to call Gilmour customer service at 1-800-458-0107 or visit www.gilmour.com for further assistance with our garden and watering products.  In addition, if you have any questions regarding this Comment or questions about this issue, please contact the Product Safety Department, Safety Assurance Supervisor at Robert Bosch Tool Corporation, at 224-232-2000.",,"['Robert Bosch Tool Corporation', 'Gilmour']",[],0
22299,20140305-C7230-1389962,3/5/2014,4/4/2014,4/18/2014,Consumer,Front loading washer,Home Maintenance and Structures,"Laundry, Fabric Care & Sewing","Washing Machines, Other or Not Specified (140)",140,BSH HOME APPLIANCES CORPORATION,Bosch,WFVC544AUC119FD8905,85909008915500103,,,,Sears,Alabama,1/1/2010,Yes,"The consumer stated that mold collects in the rubber gasket around the washer door. 

The consumer stated that there is a strong odor that poses health hazards to the consumer. The consumer is not able to breath well as she also suffers from COPD.

The consumer was informed by the repairman of why such a problem was occurring. The consumer contacted the manf and retailers about the problem. They provided her cleaning and drying instructions. 

The consumer stated that she has followed the instructions but the mold and odor keeps coming back. 

The consumer stated that she has a warranty on the unit but the retailer informed her that this is not a defect in the unit. The retailer informed the consumer that such an issue can occur with front loading washers. 

There are no recalls on this unit. 

The consumer stated that the mold recurrence has become far more frequent than before. 

",Birmingham,Alabama,35228,Home/Apartment/Condominium,"Incident, No Injury",Female,Unspecified,,Yes,No,,,No,Yes,,,(4/17/2014) BSH HOME APPLIANCES CORPORATION: The growth of mold around a clothes washer is a use and maintenance issue.  It does not constitute a significant product hazard.,,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']",['COPD.'],0
22710,20140303-50049-2147446740,3/3/2014,3/11/2014,3/26/2014,Consumer,A disc sander for sanding wood operating at 8000-11000 rpm,Home Maintenance and Structures,Tools & Hardware,Power Sanders (803),803,Robert Bosch Tool Corporation,Robert Bosch Power Tool Corporation,3283 DVS,16606170,,,,,,,,"I was using my Bosch Random Disc Sander, Model # 3283 DVS, and the sanding disc separated at high speed from its base, sending the disc flying off the machine. This is not just a piece of sandpaper, but the whole part on which the sandpaper is secured. Luckily, it flew away from me and there was nobody else in the area and no one was injured.  But, if it happened to hit my or somebody else's face, it would have been a different outcome.",Scarsdale,New York,10583,Home/Apartment/Condominium,"Incident, No Injury",Unknown,Unspecified,,Yes,,,,,,,,"(3/19/2014) Robert Bosch Tool Corporation: Robert Bosch Tool Corporation takes product safety very seriously.  Following receipt of this report, which we appreciate you taking the time to send us, we contacted the customer and discussed the reported incident with the random orbit sander.  The customer kindly submitted the sander to us for inspection and we found that the rubber pad indeed separated from the backing plate.   We believe the separation was due to the fact that rubber has aged and become embrittled; that, combined with the rotational speed of the sander appears to have been the most likely cause of the rubber pad separating from the plate.   We replaced the sander as a goodwill gesture even though the customers sander was manufactured in 1991.  As always, we encourage our customers to review not only the safety manual for the product but before each use to check for damaged parts to determine that the tool will operate properly and perform its intended function.

We encourage all customers with inquiries or complaints to call Bosch customer service at 1-877-Bosch99 or visit www.boschtools.com for further assistance with our power tool products. In addition, if you have any questions regarding this Comment or questions about this issue, please contact the Product Safety Department, Safety Assurance Supervisor at Robert Bosch Tool Corporation, at 224-232-2000.",,"['Robert Bosch Tool Corporation', 'Robert Bosch Power Tool Corporation']","['DVS', '3283', '8000-11000']",0
22781,20140218-60776-1387212,2/18/2014,3/7/2014,3/24/2014,Consumer,"The product in question is a tankless water heater designed to provide hot water to a household. This
particular model uses a standard Class B vent system and has a patented hydro ignition system (uses water to ignite the liquid propane gas). It is Bosch model 520 HN LP.",Home Maintenance and Structures,Plumbing & Bath,Gas Water Heaters (118),118,BOSCH THERMOTECHNOLOGY CORP.,Robert Bosch (Bosch),520 HN LP,7 703 431 996,,1/1/2008,,PlumberSurplus.com,California,8/10/2013,,"I have a new Bosch 520 HN LP tankless water heater that we installed in September of 2013. We chose this water
heater because the vent and hook up were an exact fit for the 20 year old [REDACTED] tankless water heater originally
installed in our home. The Bosch water heater is designed such that the heat exchanger is placed near the vent of
the water heater. As such, it has flash frozen four times since it was installed (freezes very quickly). The latest
episode caused the tankless water heater to rupture the heat exchanger in two places, dumping water all over our
basement floor. During this time, the heater continued to operate continuously producing considerable noise, heat
and steam. Luckily for us, we were home at the time and heard the commotion in our basement. Otherwise, the
heater would have continued to pour water on the floor and run continuously.

I called Bosch before this incident to inquire about a backdraft preventer. They do not offer such a product for this
water heater and do not seem very concerned about the potential for problems. The service people suggested that
we contact an HVAC person to see if they could balance the house. As I mentioned, we had the previous tankless
water heater for years without incident. It would occasionally blow out the pilot light from down drafts. But, the
downdrafts were not a persistent problem and likely resulted from a rapid change in barometric pressure that
causes an imbalance between the outside and inside air. We were convinced that an HVAC person would not be
able to offer much in the way of solutions, particularly since the problem was so rare and episodic.",Duluth,Minnesota,55810,Home/Apartment/Condominium,"Incident, No Injury",Male,Self,56,Yes,No,,No,No,Yes,,,,,"['Robert Bosch (Bosch)', '', 'BOSCH THERMOTECHNOLOGY CORP.']","['LP', 'REDACTED', 'HN', 'LP.', 'HVAC', '2013.', '520', '20']",0
22957,20140218-1F63B-2147447167,2/18/2014,2/25/2014,3/12/2014,Consumer,Bosch dishwasher SHX 46A05UC / 26,Kitchen,Appliances,Dishwashers (214),214,BSH HOME APPLIANCES CORPORATION,Bosch,SHX 46A05UC / 26,FD 8508 01663,,,approx 2005,,,2/17/2005,Yes,"I have a bosch dishwasher, purchased in 2005.   Model SHX 46A05UC  / 26   Serial # FD 8508 01663

Last night while running a load of dishes, I smelled bunt plastic, thought some plastic was in the oven or on the stove top (I was cooking).   When I could not find anything, I started to look arround.  My daughter then came down from upstairs and said she smelt something burning.

I traced the smell to the top of my dishwasher, which had a burnt electrical/plastic smell.

When I stopped the dishwasher, the control panel was doing strange things, and would not drain the dish washer and kept flashing on and off.   I let it cool off, and it would not start when I tried it later, kept making a poping sound as it started to try to drain with more burnt smell.

This is NOT w/i the 2009 recall, but has exactly the same symptoms as reported for those dishwashers.

I am further concerned as - despite the dishwasher being a fire hazard, Bosch says it can't come out and look at it for nine (9) days.    I caught it quickly as I was in the kitchen, unsure what would have happened had we been out of the house.",San Francisco,California,94114,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,Yes,,"I called Bosch's 800 number, they don't appear concerend.",(3/6/2014) BSH HOME APPLIANCES CORPORATION: This report does not identify a significant hazard to consumers.  The subject dishwasher showed a symptom similar to one related to the recalled controls but the model identified uses a different control that does not have the characteristics that caused the recall.,,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']","['01663', '2009', '2005.', 'FD', '8508', 'SHX', 'NOT', '26', '46A05UC']",8161
23246,20140121-68C9F-2147447979,1/21/2014,1/29/2014,2/20/2014,Consumer,slide in Bosch oven and range,Kitchen,Appliances,"Ranges or Ovens, Not Specified (281)",281,BSH HOME APPLIANCES CORPORATION,Bosch,,,,,,Sears,,6/1/2010,Yes,My wife and I woke up one morning to an alarming sight in our kitchen. Our Bosch oven door had exploded sometime during the night. Glass from the front of the oven door and metal strips from the side of the door were strewn about the front of the oven on the floor. The oven was not being used and it was not previously damaged. The oven is only three years old.,norwich,Vermont,5055,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,Yes,No,,,No,Yes,,I still own this product. I have contacted the manufacturer and it appears they will not repair the item since its out of warranty. This does not appear to be normal wear and tear to my wife and I. ,"(2/11/2014) BSH HOME APPLIANCES CORPORATION: The incident in this report was caused by breakage of an oven door glass followed by the unusual release of supporting parts that fell out around the door, giving the appearance of an ""explosion"".  No significant consumer hazard was created.",,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']",[],0
23366,20140116-44FCA-2147448089,1/16/2014,1/28/2014,2/12/2014,Consumer,Bosch Single Wall Oven model HBN3420uc/01,Kitchen,Appliances,Electric Ranges or Ovens (Excl Counter-top Ovens) (278),278,BSH HOME APPLIANCES CORPORATION,Bosch,HBN3420uc/01,,,,,AJ Madison,New York,1/14/2008,,"My Bosch wall oven model HBN3420uc/01 has failed several times by engaging the broiler element.  Two incidents have occurred where the broiler element remained on causing severe overheat >600 deg F temperature requiring the high temp safety switch to engage to prevent a hazard.  

When the broiler element has remained on, even opening the door did not turn it off.

I have diagnosed the problem to a faulty relay which intermittently remains stuck in the closed position.",Bethlehem,Pennsylvania,18017,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,Yes,,,,,Yes,,The manufacturer does not want to provide a replacement control board.,(2/10/2014) BSH HOME APPLIANCES CORPORATION: The situation described in this report is undesireable but is not a significant product hazard.  The oven has built in safety limits and is built to operate up to self cleaning temperatures.  The diagnoses reported by the consumer appears to be accurate  and the malfunction can be fixed by qualified Service Technician.,,"['Bosch', 'BSH HOME APPLIANCES CORPORATION']","['01', 'HBN3420uc', '600']",0
